original_file,sorted_folder,recommended_filename,recommended_page_or_section,caption_or_use,priority,notes
killdozer_tests.png,05_navionics_software_page,software_01_object_detection_test_screenshot.png,Software,Testing screenshot related to object detection/vision workflow.,Medium,
phase0_inthewater.png,05_navionics_software_page,software_02_underwater_test_view.png,Software / Testing,Underwater view from in-water testing; useful for perception/testing section.,High,
image5.jpg,05_navionics_software_page,software_03_underwater_detection_test.jpg,Software / Testing,Underwater pool view with target/robot; useful for software testing section.,High,
software.txt,05_navionics_software_page,software_04_progress_log_extract.txt,Software,"Text record of ROS2, YOLO, gate_decider, motor command, ESC/PWM, and wet-test software progress.",High,
IMG_2219.jpg,06_business_sponsors_contact,general_01_lab_team_working_machining.jpg,Business / Contact / Sponsors,People working in lab/machine area; good human-process image.,High,
IMG_2178.jpg,06_business_sponsors_contact,general_02_poolside_testing_preparation.jpg,Business / Sponsors / Contact,Poolside testing preparation; shows real testing credibility.,High,
IMG_1795.jpg,06_business_sponsors_contact,general_03_sponsor_ready_robot_pool_front.jpg,Sponsors / Contact,Clean robot image suitable for sponsor/contact page.,High,
IMG_1442.jpg,06_business_sponsors_contact,general_04_robot_lab_table_photo.jpg,Business / Sponsors,Robot on lab table; usable for general project overview.,Medium,
att.dJXgK1hIksElDFGdojaeWH86gH9iJKGGr9OjS75hILM.jpg,06_business_sponsors_contact,general_05_early_robot_with_usm_stickers.jpg,Business / Contact,Early robot with USM branding stickers; useful if cropped well.,Medium,
ScreenRecording_04-30-2026_17-52-22_1_frame_01.jpg,07_video_testing_media,frame_pool_thruster_test_frame_01.jpg,Video thumbnails / testing,Extracted frame from 04/30/2026 pool thruster testing video.,Medium,Use as video thumbnail or testing gallery still; video1 appears visually duplicated with screen recording.
ScreenRecording_04-30-2026_17-52-22_1_frame_02.jpg,07_video_testing_media,frame_pool_thruster_test_frame_02.jpg,Video thumbnails / testing,Extracted frame from 04/30/2026 pool thruster testing video.,Medium,Use as video thumbnail or testing gallery still; video1 appears visually duplicated with screen recording.
ScreenRecording_04-30-2026_17-52-22_1_frame_03.jpg,07_video_testing_media,frame_pool_thruster_test_frame_03.jpg,Video thumbnails / testing,Extracted frame from 04/30/2026 pool thruster testing video.,Medium,Use as video thumbnail or testing gallery still; video1 appears visually duplicated with screen recording.
ScreenRecording_04-30-2026_17-52-22_1_frame_04.jpg,07_video_testing_media,frame_pool_thruster_test_frame_04.jpg,Video thumbnails / testing,Extracted frame from 04/30/2026 pool thruster testing video.,Medium,Use as video thumbnail or testing gallery still; video1 appears visually duplicated with screen recording.
ScreenRecording_04-30-2026_17-52-22_1_frame_05.jpg,07_video_testing_media,frame_pool_thruster_test_frame_05.jpg,Video thumbnails / testing,Extracted frame from 04/30/2026 pool thruster testing video.,Medium,Use as video thumbnail or testing gallery still; video1 appears visually duplicated with screen recording.
ScreenRecording_04-30-2026_17-52-22_1_frame_06.jpg,07_video_testing_media,frame_pool_thruster_test_frame_06.jpg,Video thumbnails / testing,Extracted frame from 04/30/2026 pool thruster testing video.,Medium,Use as video thumbnail or testing gallery still; video1 appears visually duplicated with screen recording.
video1_frame_01.jpg,07_video_testing_media,frame_pool_thruster_test_duplicate_frame_01.jpg,Video thumbnails / testing,Extracted frame from 04/30/2026 pool thruster testing video.,Medium,Use as video thumbnail or testing gallery still; video1 appears visually duplicated with screen recording.
video1_frame_02.jpg,07_video_testing_media,frame_pool_thruster_test_duplicate_frame_02.jpg,Video thumbnails / testing,Extracted frame from 04/30/2026 pool thruster testing video.,Medium,Use as video thumbnail or testing gallery still; video1 appears visually duplicated with screen recording.
video1_frame_03.jpg,07_video_testing_media,frame_pool_thruster_test_duplicate_frame_03.jpg,Video thumbnails / testing,Extracted frame from 04/30/2026 pool thruster testing video.,Medium,Use as video thumbnail or testing gallery still; video1 appears visually duplicated with screen recording.
video1_frame_04.jpg,07_video_testing_media,frame_pool_thruster_test_duplicate_frame_04.jpg,Video thumbnails / testing,Extracted frame from 04/30/2026 pool thruster testing video.,Medium,Use as video thumbnail or testing gallery still; video1 appears visually duplicated with screen recording.
video1_frame_05.jpg,07_video_testing_media,frame_pool_thruster_test_duplicate_frame_05.jpg,Video thumbnails / testing,Extracted frame from 04/30/2026 pool thruster testing video.,Medium,Use as video thumbnail or testing gallery still; video1 appears visually duplicated with screen recording.
video1_frame_06.jpg,07_video_testing_media,frame_pool_thruster_test_duplicate_frame_06.jpg,Video thumbnails / testing,Extracted frame from 04/30/2026 pool thruster testing video.,Medium,Use as video thumbnail or testing gallery still; video1 appears visually duplicated with screen recording.
Discord_chat_2026-01-25T17_52_08.823Z_2026-04-30T22_56_16.049Z.csv,99_reference_logs,discord_chat_log_2026_01_25_to_2026_04_30.csv,Reference only,Discord build log used to reconstruct roadmap milestones.,Reference,
software.txt,99_reference_logs,software_progress_notes.txt,Reference only,Software progress notes used to write software/navionics page copy.,Reference,
phase0.heic.jpg,99_reference_logs,optional_phase0_heic_converted_low_quality.jpg,Do not prioritize,Converted HEIC appears blurry/low utility.,Low,Keep only as reference; not recommended for website.
killdozer.HEIC.jpg,99_reference_logs,optional_killdozer_heic_converted_low_quality.jpg,Do not prioritize,Converted HEIC appears blurry/low utility.,Low,Keep only as reference; not recommended for website.
